M.	m.	NOUN	O	O	O
Guérin	guérin	PROPN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
vient	venir	VERB	O	O	O
de	de	ADP	O	O	O
mourir	mourir	VERB	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
âge	âge	NOUN	O	O	O
de	de	ADP	O	O	O
cinquante	cinquante	NUM	O	O	O
-	-	NUM	O	O	O
deux	deux	NUM	O	O	O
ans	an	NOUN	O	O	O
,	,	PUNCT	O	O	O
était	être	AUX	O	O	O
chevalier	chevalier	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Légion	légion	NOUN	O	O	O
d'	de	ADP	O	O	O
honneur	honneur	NOUN	O	O	O
,	,	PUNCT	O	O	O
licencié	licencier	VERB	O	O	O
en	en	ADP	O	O	O
droit	droit	NOUN	O	O	O
,	,	PUNCT	O	O	O
chef	chef	NOUN	O	O	O
de	de	ADP	O	O	O
bureau	bureau	NOUN	O	O	O
au	au	ADP	O	O	O
ministère	ministère	NOUN	O	O	O
des	de	ADP	O	O	O
finances	finance	NOUN	O	O	O
,	,	PUNCT	O	O	O
ancien	ancien	ADJ	O	O	O
capitaine	capitaine	NOUN	O	O	O
en	en	ADP	O	O	O
premier	premier	ADJ	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
2e	deuxième	ADJ	O	O	O
compagnie	compagnie	NOUN	O	O	O
du	de	ADP	O	O	O
7e	septième	ADJ	O	O	O
bataillon	bataillon	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
garde	garde	NOUN	O	O	O
nationale	national	ADJ	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
laisse	laisse	VERB	O	O	O
une	un	DET	O	O	O
fortune	fortune	NOUN	O	O	O
d'	de	ADP	O	O	O
environ	environ	ADV	O	O	O
vingt	vingt	DET	O	O	O
-	-	DET	O	O	O
cinq	cinq	DET	O	O	O
mille	mille	DET	O	O	O
francs	franc	NOUN	O	O	O
de	de	ADP	O	O	O
rente	rente	NOUN	O	O	O
,	,	PUNCT	O	O	O
une	un	DET	O	O	O
veuve	veuve	NOUN	O	O	O
inconsolable	inconsolable	ADJ	O	O	O
et	et	CCONJ	O	O	O
un	un	DET	O	O	O
