SAGE	sage	NOUN	O	O	O
OU	ou	CCONJ	O	O	O
FOU	fou	NOUN	O	O	O

Il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	VERB	O	O	O
foule	foule	NOUN	O	O	O
,	,	PUNCT	O	O	O
ce	ce	DET	O	O	O
jour	jour	NOUN	O	O	O
-	-	NOUN	O	O	O
là	là	ADV	O	O	O
,	,	PUNCT	O	O	O
sur	sur	ADP	O	O	O
le	le	DET	O	O	O
quai	quai	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Delaware	delaware	PROPN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
Philadelphie	philadelphie	PROPN	O	O	O
,	,	PUNCT	O	O	O
aux	à	ADP	O	O	O
abords	abord	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
jetée	jetée	NOUN	O	O	O
quarante	quarante	NUM	O	O	O
-	-	NOUN	O	O	O
neuf	neuf	NUM	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
long	long	NOUN	O	O	O
de	de	ADP	O	O	O
laquelle	lequel	PRON	O	O	O
un	un	DET	O	O	O
steamer	steamer	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
Montgomery	montgomery	PROPN	O	O	O
,	,	PUNCT	O	O	O
était	être	AUX	O	O	O
amarré	amarrer	VERB	O	O	O
côte	côte	NOUN	O	O	O
à	à	ADP	O	O	O
côte	côte	NOUN	O	O	O
avec	avec	ADP	O	O	O
une	un	DET	O	O	O
étrange	étrange	ADJ	O	O	O
remorque	remorque	NOUN	O	O	O
.	.	PUNCT	O	O	O

Large	large	ADJ	O	O	O
de	de	ADP	O	O	O
trois	trois	NUM	O	O	O
milles	mille	NOUN	O	O	O
en	en	ADP	O	O	O
cet	ce	DET	O	O	O
endroit	endroit	NOUN	O	O	O
,	,	PUNCT	O	O	O
entre	entrer	ADP	O	O	O
Philadelphie	philadelphie	PROPN	O	O	O
et	et	CCONJ	O	O	O
Camden	camden	PROPN	O	O	O
,	,	PUNCT	O	O	O
l'	le	DET	O	O	O
annexe	annexe	NOUN	O	O	O
du	de	ADP	O	O	O
grand	grand	ADJ	O	O	O
port	port	NOUN	O	O	O
américain	américain	ADJ	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
fleuve	fleuve	NOUN	O	O	O
était	être	AUX	O	O	O
couvert	couvrir	VERB	O	O	O
de	de	ADP	O	O	O
petites	petit	ADJ	O	O	O
embarcations	embarcation	NOUN	O	O	O
chargées	charger	VERB	O	O	O
de	de	ADP	O	O	O
curieux	curieux	NOUN	O	O	O
qui	qui	PRON	O	O	O
gênaient	gêner	VERB	O	O	O
les	le	DET	O	O	O
évolutions	évolution	NOUN	O	O	O
des	de	ADP	O	O	O
cargos	cargo	NOUN	O	O	O
et	et	CCONJ	O	O	O
des	de	ADP	O	O	O
paquebots	paquebot	NOUN	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
se	se	PRON	O	O	O
montrait	montrer	VERB	O	O	O
l'	le	DET	O	O	O
objet	objet	NOUN	O	O	O
bizarre	bizarre	ADJ	O	O	O
que	que	PRON	O	O	O
le	le	DET	O	O	O
Montgomery	montgomery	PROPN	O	O	O
,	,	PUNCT	O	O	O
dont	dont	PRON	O	O	O
les	le	DET	O	O	O
machines	machine	NOUN	O	O	O
étaient	être	AUX	O	O	O
sous	sou	ADP	O	O	O
pression	pression	NOUN	O	O	O
,	,	PUNCT	O	O	O
allait	aller	VERB	O	O	O
conduire	conduire	VERB	O	O	O
au	au	ADP	O	O	O
large	large	NOUN	O	O	O
.	.	PUNCT	O	O	O

Cela	celer	PRON	O	O	O
ressemblait	ressembler	VERB	O	O	O
assez	assez	ADV	O	O	O
à	à	ADP	O	O	O
un	un	DET	O	O	O
puissant	puissant	ADJ	O	O	O
sous	sou	NOUN	O	O	O
-	-	NOUN	O	O	O
marin	marin	ADJ	O	O	O
