Première	premier	ADJ	O	O	O
partie	partie	NOUN	O	O	O
Prologue	prologue	NOUN	O	O	O
La	le	DET	O	O	O
guerre	guerre	NOUN	O	O	O
a	avoir	AUX	O	O	O
provoqué	provoquer	VERB	O	O	O
de	de	DET	O	O	O
tels	tel	ADJ	O	O	O
bouleversements	bouleversement	NOUN	O	O	O
que	que	SCONJ	O	O	O
bien	bien	ADV	O	O	O
peu	peu	ADV	O	O	O
de	de	ADP	O	O	O
personnes	personne	NOUN	O	O	O
se	se	PRON	O	O	O
souviennent	souvenir	VERB	O	O	O
aujourd	aujourd	ADV	O	O	O
'	'	PUNCT	O	O	O
hui	hui	ADV	O	O	O
de	de	ADP	O	O	O
ce	ce	PRON	O	O	O
qui	qui	PRON	O	O	O
fut	être	AUX	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
y	y	PRON	O	O	O
a	avoir	VERB	O	O	O
quelques	quelque	DET	O	O	O
années	année	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
scandale	scandale	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
Hergemont	hergemont	PROPN	O	O	O
.	.	PUNCT	O	O	O

Rappelons	rappeler	VERB	O	O	O
les	le	DET	O	O	O
faits	fait	NOUN	O	O	O
en	en	ADP	O	O	O
quelques	quelque	DET	O	O	O
lignes	ligne	NOUN	O	O	O
:	:	PUNCT	O	O	O
Au	au	ADP	O	O	O
mois	mois	NOUN	O	O	O
de	de	ADP	O	O	O
juin	juin	NOUN	O	O	O
1902	1902	NUM	O	O	O
,	,	PUNCT	O	O	O
M.	m.	NOUN	O	O	O
Antoine	antoine	PROPN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
Hergemont	hergemont	PROPN	O	O	O
,	,	PUNCT	O	O	O
dont	dont	PRON	O	O	O
on	on	PRON	O	O	O
apprécie	apprécier	VERB	O	O	O
les	le	DET	O	O	O
études	étude	NOUN	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
monuments	monument	NOUN	O	O	O
mégalithiques	mégalithique	ADJ	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Bretagne	bretagne	PROPN	O	O	O
,	,	PUNCT	O	O	O
se	se	PRON	O	O	O
promenait	promener	VERB	O	O	O
au	au	ADP	O	O	O
Bois	bois	NOUN	O	O	O
avec	avec	ADP	O	O	O
sa	son	DET	O	O	O
fille	fille	NOUN	O	O	O
Véronique	véronique	PROPN	O	O	O
,	,	PUNCT	O	O	O
lorsqu	lorsqu	SCONJ	O	O	O
'	'	PUNCT	O	O	O
il	il	PRON	O	O	O
fut	être	AUX	O	O	O
assailli	assaillir	VERB	O	O	O
par	par	ADP	O	O	O
quatre	quatre	NUM	O	O	O
individus	individu	NOUN	O	O	O
et	et	CCONJ	O	O	O
frappé	frapper	VERB	O	O	O
au	au	ADP	O	O	O
visage	visage	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
un	un	DET	O	O	O
coup	coup	NOUN	O	O	O
de	de	ADP	O	O	O
canne	canne	NOUN	O	O	O
qui	qui	PRON	O	O	O
l	l	PRON	O	O	O
'	'	PRON	O	O	O
abattit	abattre	VERB	O	O	O
.	.	PUNCT	O	O	O

Après	après	ADP	O	O	O
une	un	DET	O	O	O
courte	court	ADJ	O	O	O
lutte	lutte	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
malgré	malgré	ADP	O	O	O
ses	son	DET	O	O	O
efforts	effort	NOUN	O	O	O
désespérés	désespéré	ADJ	O	O	O
,	,	PUNCT	O	O	O
Véronique	véronique	PROPN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
belle	bel	ADJ	O	O	O
Véronique	véronique	PROPN	O	O	O
comme	comme	SCONJ	O	O	O
on	on	PRON	O	O	O
l	l	PRON	O	O	O
'	'	PRON	O	O	O
appelait	appeler	VERB	O	O	O
parmi	parmi	ADP	O	O	O
ses	son	DET	O	O	O
amies	amie	NOUN	O	O	O
,	,	PUNCT	O	O	O
était	être	AUX	O	O	O
entraînée	entraîner	VERB	O	O	O
et	et	CCONJ	O	O	O
jetée	jeter	VERB	O	O	O
dans	dans	ADP	O	O	O
une	un	DET	O	O	O
automobile	automobile	NOUN	O	O	O
que	que	PRON	O	O	O
les	le	DET	O	O	O
spectateurs	spectateur	NOUN	O	O	O
de	de	ADP	O	O	O
cette	ce	DET	O	O	O
scène	scène	NOUN	O	O	O
très	très	ADV	O	O	O
