Avant	avant	ADV	O	O	O
-	-	NUM	O	O	O

propos	propos	NOUN	O	O	O

«	«	PUNCT	O	O	O

La	le	DET	O	O	O
machine	machine	NOUN	O	O	O
à	à	ADP	O	O	O
assassiner	assassiner	VERB	O	O	O

!	!	PUNCT	O	O	O

»	»	PUNCT	O	O	O

quelle	quell	ADJ	O	O	O
est	être	AUX	O	O	O

cette	ce	DET	O	O	O
invention	invention	NOUN	O	O	O
nouvelle	nouveau	ADJ	O	O	O

?	?	PUNCT	O	O	O

et	et	CCONJ	O	O	O
le	le	DET	O	O	O
besoin	besoin	NOUN	O	O	O

s'	se	PRON	O	O	O
en	en	PRON	O	O	O
faisait	faire	VERB	O	O	O
-	-	PUNCT	O	O	O

il	il	PRON	O	O	O

réellement	réellement	ADV	O	O	O

sentir	sentir	VERB	O	O	O

?	?	PUNCT	O	O	O

Il	il	PRON	O	O	O
ne	ne	ADV	O	O	O

s'	se	PRON	O	O	O
agit	agir	VERB	O	O	O
peut	pouvoir	PUNCT	O	O	O

-	-	PUNCT	O	O	O

être	être	AUX	O	O	O

,	,	PUNCT	O	O	O

après	après	ADP	O	O	O
tout	tout	ADV	O	O	O

,	,	PUNCT	O	O	O
que	que	ADV	O	O	O

de	de	ADP	O	O	O
cette	ce	DET	O	O	O
vieille	vieux	ADJ	O	O	O
invention	invention	NOUN	O	O	O
,	,	PUNCT	O	O	O
sortie	sortir	VERB	O	O	O
des	de	ADP	O	O	O
mains	main	NOUN	O	O	O
de	de	ADP	O	O	O
Dieu	dieu	PROPN	O	O	O
,	,	PUNCT	O	O	O

aux	à	ADP	O	O	O
plus	plus	ADV	O	O	O
beaux	beal	ADJ	O	O	O
jours	jour	NOUN	O	O	O

d'	de	ADP	O	O	O
Éden	éden	PROPN	O	O	O

,	,	PUNCT	O	O	O

et	et	CCONJ	O	O	O
qui	qui	PRON	O	O	O
devait	devoir	VERB	O	O	O
s'	se	PRON	O	O	O
appeler	appeler	VERB	O	O	O

:	:	PUNCT	O	O	O

l'	le	DET	O	O	O
Homme	homme	NOUN	O	O	O

!	!	PUNCT	O	O	O

En	en	PUNCT	O	O	O

vérité	vérité	NOUN	O	O	O
,	,	PUNCT	O	O	O

l'	le	DET	O	O	O
Histoire	histoire	NOUN	O	O	O
,	,	PUNCT	O	O	O

depuis	depuis	ADP	O	O	O
ses	son	DET	O	O	O
premières	premier	ADJ	O	O	O
empreintes	empreinte	NOUN	O	O	O
aux	à	ADP	O	O	O
parois	paroi	NOUN	O	O	O
des	de	ADP	O	O	O
cavernes	caverne	NOUN	O	O	O

jusqu'	jusque	ADP	O	O	O
aux	à	ADP	O	O	O

plus	plus	ADV	O	O	O
récents	récent	ADJ	O	O	O
rayons	rayon	NOUN	O	O	O
de	de	ADP	O	O	O
nos	notre	DET	O	O	O
bibliothèques	bibliothèque	NOUN	O	O	O

,	,	PUNCT	O	O	O
est	être	AUX	O	O	O
là	là	ADV	O	O	O

pour	pour	ADP	O	O	O
attester	attester	VERB	O	O	O

que	que	SCONJ	O	O	O
l'	le	PRON	O	O	O
on	on	PRON	O	O	O
n	ne	ADV	O	O	O
'	'	PUNCT	O	O	O

a	à	ADP	O	O	O
point	point	NOUN	O	O	O
encore	encore	ADV	O	O	O
trouvé	trouver	VERB	O	O	O

de	de	ADP	O	O	O
meilleure	meilleur	ADJ	O	O	O
mécanique	mécanique	NOUN	O	O	O
à	à	PUNCT	O	O	O

répandre	répandre	PUNCT	O	O	O

le	le	DET	O	O	O
sang	sang	NOUN	O	O	O

!	!	PUNCT	O	O	O

Vouloir	vouloir	VERB	O	O	O
faire	faire	VERB	O	O	O

mieux	mieux	ADV	O	O	O

que	que	ADV	O	O	O

le	le	DET	O	O	O
Créateur	créateur	NOUN	O	O	O

,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
est	être	VERB	O	O	O

là	là	ADV	O	O	O

le	le	DET	O	O	O
fait	fait	NOUN	O	O	O
d	d	ADP	O	O	O
'	'	PUNCT	O	O	O

un	un	DET	O	O	O
génie	génie	NOUN	O	O	O
diabolique	diabolique	ADJ	O	O	O
,	,	PUNCT	O	O	O

une	un	DET	O	O	O
nouvelle	nouveau	ADJ	O	O	O
forme	forme	NOUN	O	O	O
de	de	PUNCT	O	O	O

la	le	DET	O	O	O
lutte	lutte	NOUN	O	O	O
éternelle	éternel	ADJ	O	O	O

entre	entrer	ADP	O	O	O
le	le	DET	O	O	O
Prince	prince	NOUN	O	O	O
des	de	ADP	O	O	O
lumières	lumière	NOUN	O	O	O

et	et	CCONJ	O	O	O
celui	celui	PRON	O	O	O
des	de	ADP	O	O	O
ténèbres	ténèbre	NOUN	O	O	O

!	!	PUNCT	O	O	O

lequel	lequel	PRON	O	O	O
passe	passer	VERB	O	O	O

pour	pour	ADP	O	O	O
chercher	chercher	VERB	O	O	O

Le	le	DET	O	O	O
Malin	malin	NOUN	O	O	O

se	se	PRON	O	O	O
glisse	glisse	VERB	O	O	O

où	où	PRON	O	O	O
il	il	PRON	O	O	O

