phosphorescente	phosphorescent	ADJ	O	O	O
,	,	PUNCT	O	O	O
infiniment	infiniment	ADV	O	O	O
plus	plus	ADV	O	O	O
vaste	vaste	ADJ	O	O	O
et	et	CCONJ	O	O	O
plus	plus	ADV	O	O	O
rapide	rapide	ADJ	O	O	O
qu'	que	SCONJ	O	O	O
une	un	DET	O	O	O
baleine	baleine	NOUN	O	O	O

.	.	PUNCT	O	O	O

Les	le	DET	O	O	O
faits	fait	NOUN	O	O	O
relatifs	relatif	ADJ	O	O	O
à	à	ADP	O	O	O
cette	ce	DET	O	O	O
apparition	apparition	NOUN	O	O	O
,	,	PUNCT	O	O	O
consignés	consigner	VERB	O	O	O
aux	à	ADP	O	O	O
divers	divers	ADJ	O	O	O
livres	livre	NOUN	O	O	O
de	de	ADP	O	O	O
bord	bord	NOUN	O	O	O
,	,	PUNCT	O	O	O
s'	se	PRON	O	O	O
accordaient	accorder	VERB	O	O	O
assez	assez	ADV	O	O	O
exactement	exactement	ADV	O	O	O
sur	sur	ADP	O	O	O
la	le	DET	O	O	O
structure	structure	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
objet	objet	NOUN	O	O	O
ou	ou	CCONJ	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
être	être	AUX	O	O	O
en	en	ADP	O	O	O
question	question	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
vitesse	vitesse	NOUN	O	O	O
inouïe	inouï	ADJ	O	O	O
de	de	ADP	O	O	O
ses	son	DET	O	O	O
mouvements	mouvement	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
puissance	puissance	NOUN	O	O	O
surprenante	surprenant	ADJ	O	O	O
de	de	ADP	O	O	O
sa	son	DET	O	O	O
locomotion	locomotion	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
vie	vie	NOUN	O	O	O
particulière	particulier	ADJ	O	O	O
dont	dont	PRON	O	O	O
il	il	PRON	O	O	O
semblait	sembler	VERB	O	O	O
doué	doué	ADJ	O	O	O
.	.	PUNCT	O	O	O

Si	si	SCONJ	O	O	O
c'	ce	PRON	O	O	O
était	être	AUX	O	O	O
un	un	DET	O	O	O
cétacé	cétacé	NOUN	O	O	O
,	,	PUNCT	O	O	O
