CONTE	conte	NOUN	O	O	O
COSMOGRAPHIQUE	cosmographique	ADJ	O	O	O
ET	et	CCONJ	O	O	O
MORAL	moral	VERB	O	O	O
PAR	par	ADP	O	O	O
une	un	DET	O	O	O
claire	clair	ADJ	O	O	O
nuit	nuit	NOUN	O	O	O
de	de	ADP	O	O	O
printemps	printemps	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
face	face	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Lune	lune	NOUN	O	O	O
prit	prendre	VERB	O	O	O
tout	tout	ADV	O	O	O
à	à	ADP	O	O	O
coup	coup	VERB	O	O	O
une	un	DET	O	O	O
expression	expression	NOUN	O	O	O
de	de	ADP	O	O	O
stupéfaction	stupéfaction	NOUN	O	O	O
profonde	profond	ADJ	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
raison	raison	NOUN	O	O	O
en	en	PRON	O	O	O
fut	être	AUX	O	O	O
vite	vite	ADV	O	O	O
connue	connaître	VERB	O	O	O
des	un	DET	O	O	O
observatoires	observatoire	NOUN	O	O	O
.	.	PUNCT	O	O	O

Une	un	DET	O	O	O
comète	comète	NOUN	O	O	O
approchait	approcher	VERB	O	O	O
avec	avec	ADP	O	O	O
une	un	DET	O	O	O
vitesse	vitesse	NOUN	O	O	O
de	de	ADP	O	O	O
225	225	NUM	O	O	O
milles	mille	NOUN	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
heure	heure	NOUN	O	O	O
.	.	PUNCT	O	O	O

Elle	lui	PRON	O	O	O
fut	être	AUX	O	O	O
bientôt	bientôt	ADV	O	O	O
à	à	ADP	O	O	O
portée	portée	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
terre	terre	NOUN	O	O	O
,	,	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
sans	sans	ADP	O	O	O
ralentir	ralentir	VERB	O	O	O
sa	son	DET	O	O	O
marche	marche	NOUN	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
Lune	lune	NOUN	O	O	O
crut	crut	NOUN	O	O	O
un	un	DET	O	O	O
instant	instant	NOUN	O	O	O
qu'	que	SCONJ	O	O	O
il	il	PRON	O	O	O
y	y	PRON	O	O	O
aurait	avoir	VERB	O	O	O
assez	assez	ADV	O	O	O
de	de	ADP	O	O	O
place	place	NOUN	O	O	O
entre	entrer	ADP	O	O	O
elle	lui	PRON	O	O	O
et	et	CCONJ	O	O	O
la	le	DET	O	O	O
terre	terre	NOUN	O	O	O
,	,	PUNCT	O	O	O
pour	pour	ADP	O	O	O
permettre	permettre	VERB	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
voyageuse	voyageur	NOUN	O	O	O
de	de	ADP	O	O	O
passer	passer	VERB	O	O	O
avec	avec	ADP	O	O	O
sa	son	DET	O	O	O
longue	long	ADJ	O	O	O
traîne	traîne	NOUN	O	O	O
;	;	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
la	le	DET	O	O	O
Lune	lune	NOUN	O	O	O
ne	ne	ADV	O	O	O
sut	savoir	VERB	O	O	O
jamais	jamais	ADV	O	O	O
compter	compter	VERB	O	O	O
juste	juste	ADV	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
comète	comète	NOUN	O	O	O
arriva	arriver	VERB	O	O	O
comme	comme	ADP	O	O	O
un	un	DET	O	O	O
navire	navire	VERB	O	O	O
à	à	ADP	O	O	O
toute	tout	DET	O	O	O
vapeur	vapeur	NOUN	O	O	O
.	.	PUNCT	O	O	O

Sur	sur	ADP	O	O	O
le	le	DET	O	O	O
devant	devant	NOUN	O	O	O
,	,	PUNCT	O	O	O
était	être	AUX	O	O	O
son	son	DET	O	O	O
capitaine	capitaine	NOUN	O	O	O
un	un	DET	O	O	O
rustre	rustre	NOUN	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
aspect	aspect	NOUN	O	O	O
brutal	brutal	ADJ	O	O	O
et	et	CCONJ	O	O	O
cruel	cruel	ADJ	O	O	O
.	.	PUNCT	O	O	O

Sur	sur	ADP	O	O	O
son	son	DET	O	O	O
dos	dos	NOUN	O	O	O
un	un	DET	O	O	O
havre	havre	NOUN	O	O	O
