I	i	PUNCT	O	O	O

On	on	PRON	O	O	O
ignore	ignorer	VERB	O	O	O
généralement	généralement	ADV	O	O	O
que	que	SCONJ	O	O	O
depuis	depuis	ADP	O	O	O
des	un	DET	O	O	O
siècles	siècle	NOUN	O	O	O
la	le	DET	O	O	O
GRANDE	grand	ADJ	O	O	O
KABALA	kabala	PROPN	O	O	O
ou	ou	CCONJ	O	O	O
la	le	DET	O	O	O
Science	science	NOUN	O	O	O
Occulte	occulte	ADJ	O	O	O
est	être	AUX	O	O	O
la	le	DET	O	O	O
seule	seul	ADJ	O	O	O
science	science	NOUN	O	O	O
qui	qui	PRON	O	O	O
ait	avoir	AUX	O	O	O
rendu	rendre	VERB	O	O	O
les	le	DET	O	O	O
plus	plus	ADV	O	O	O
grands	grand	ADJ	O	O	O
services	service	NOUN	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
humanité	humanité	NOUN	O	O	O
.	.	PUNCT	O	O	O

C'	ce	PRON	O	O	O
est	être	AUX	O	O	O
par	par	ADP	O	O	O
elle	lui	PRON	O	O	O
que	que	PRON	O	O	O
les	le	DET	O	O	O
hommes	homme	NOUN	O	O	O
ont	avoir	AUX	O	O	O
acquis	acquérir	VERB	O	O	O
l'	le	DET	O	O	O
écriture	écriture	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
chiffres	chiffre	NOUN	O	O	O
,	,	PUNCT	O	O	O
l'	le	DET	O	O	O
astronomie	astronomie	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
boussole	boussole	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
poudre	poudre	NOUN	O	O	O
à	à	ADP	O	O	O
canon	canon	NOUN	O	O	O
,	,	PUNCT	O	O	O
l'	le	DET	O	O	O
imprimerie	imprimerie	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
magnétisme	magnétisme	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
télégraphe	télégraphe	NOUN	O	O	O
et	et	CCONJ	O	O	O
la	le	DET	O	O	O
vapeur	vapeur	NOUN	O	O	O
.	.	PUNCT	O	O	O

L'	le	DET	O	O	O
art	art	NOUN	O	O	O
de	de	ADP	O	O	O
guérir	guérir	VERB	O	O	O
lui	luire	PRON	O	O	O
doit	devoir	VERB	O	O	O
ses	son	DET	O	O	O
meilleures	meilleur	ADJ	O	O	O
et	et	CCONJ	O	O	O
ses	son	DET	O	O	O
plus	plus	ADV	O	O	O
simples	simple	ADJ	O	O	O
recettes	recette	NOUN	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
philosophie	philosophie	NOUN	O	O	O
et	et	CCONJ	O	O	O
la	le	DET	O	O	O
politique	politique	NOUN	O	O	O
lui	luire	PRON	O	O	O
doivent	devoir	VERB	O	O	O
tout	tout	PRON	O	O	O
!	!	PUNCT	O	O	O

Chose	chose	NOUN	O	O	O
bizarre	bizarre	ADJ	O	O	O
,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
est	être	AUX	O	O	O
d'	de	ADP	O	O	O
une	un	DET	O	O	O
race	race	NOUN	O	O	O
méprisée	mépriser	VERB	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
vulgaire	vulgaire	NOUN	O	O	O
que	que	PRON	O	O	O
sont	être	AUX	O	O	O
sortis	sortir	ADJ	O	O	O
les	le	DET	O	O	O
trésors	trésor	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
science	science	NOUN	O	O	O
,	,	PUNCT	O	O	O
des	de	ADP	O	O	O
religions	religion	NOUN	O	O	O
et	et	CCONJ	O	O	O
des	de	ADP	O	O	O
connaissances	connaissance	NOUN	O	O	O
humaines	humain	ADJ	O	O	O
.	.	PUNCT	O	O	O

C'	ce	PRON	O	O	O
est	être	AUX	O	O	O
généralement	généralement	ADV	O	O	O
par	par	ADP	O	O	O
des	un	DET	O	O	O
rabbins	rabbin	NOUN	O	O	O
remplis	remplir	VERB	O	O	O
d'	de	ADP	O	O	O
années	année	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
savoir	savoir	VERB	O	O	O
que	que	SCONJ	O	O	O
les	le	DET	O	O	O
grands	grand	ADJ	O	O	O
médecins	médecin	NOUN	O	O	O
,	,	PUNCT	O	O	O
les	le	DET	O	O	O
moines	moine	NOUN	O	O	O
célèbres	célèbre	ADJ	O	O	O
et	et	CCONJ	O	O	O
les	le	DET	O	O	O
illustres	illustre	ADJ	O	O	O
philosophes	philosophe	NOUN	O	O	O
qui	qui	PRON	O	O	O
ont	avoir	AUX	O	O	O
traversé	traverser	VERB	O	O	O
les	le	DET	O	O	O
siècles	siècle	NOUN	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
ont	avoir	AUX	O	O	O
été	être	AUX	O	O	O
initiés	initier	VERB	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
après	après	ADP	O	O	O
de	de	DET	O	O	O
longues	long	ADJ	O	O	O
et	et	CCONJ	O	O	O
dangereuses	dangereux	ADJ	O	O	O
épreuves	épreuve	NOUN	O	O	O
,	,	PUNCT	O	O	O
—	—	PUNCT	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
révélation	révélation	NOUN	O	O	O
de	de	ADP	O	O	O
quelque	quelque	DET	O	O	O
progrès	progrès	NOUN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
quelque	quelque	DET	O	O	O
mystère	mystère	NOUN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
apportait	apporter	VERB	O	O	O
aux	à	ADP	O	O	O
nations	nation	NOUN	O	O	O
des	un	DET	O	O	O
changements	changement	NOUN	O	O	O
et	et	CCONJ	O	O	O
des	un	DET	O	O	O
avantages	avantage	NOUN	O	O	O
sans	sans	ADP	O	O	O
nombre	nombre	NOUN	O	O	O
.	.	PUNCT	O	O	O

C'	ce	PRON	O	O	O
est	être	AUX	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
KABALA	kabala	PROPN	O	O	O
qu'	que	PRON	O	O	O
on	on	PRON	O	O	O
doit	devoir	VERB	O	O	O
les	le	DET	O	O	O
sociétés	société	NOUN	O	O	O
secrètes	secret	ADJ	O	O	O
,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
est	être	AUX	O	O	O
elle	lui	PRON	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
après	après	ADP	O	O	O
des	un	DET	O	O	O
siècles	siècle	NOUN	O	O	O
d'	de	ADP	O	O	O
asservissement	asservissement	NOUN	O	O	O
mit	mettre	VERB	O	O	O
au	au	ADP	O	O	O
jour	jour	NOUN	O	O	O
les	le	DET	O	O	O
trois	trois	NUM	O	O	O
mots	mot	NOUN	O	O	O
divins	divin	ADJ	O	O	O
!	!	PUNCT	O	O	O
!	!	PUNCT	O	O	O

!	!	PUNCT	O	O	O

Qu'	que	PRON	O	O	O
étaient	être	AUX	O	O	O
Moïse	moïse	PROPN	O	O	O
,	,	PUNCT	O	O	O
Salomon	salomon	PROPN	O	O	O
,	,	PUNCT	O	O	O
Platon	platon	PROPN	O	O	O
,	,	PUNCT	O	O	O
Mahomet	mahomet	PROPN	O	O	O
,	,	PUNCT	O	O	O
Gutenberg	gutenberg	PROPN	O	O	O
,	,	PUNCT	O	O	O
Luther	luther	PROPN	O	O	O
,	,	PUNCT	O	O	O
Franklin	franklin	PROPN	O	O	O
?	?	PUNCT	O	O	O

De	de	DET	O	O	O
grands	grand	ADJ	O	O	O
et	et	CCONJ	O	O	O
augustes	auguste	ADJ	O	O	O
initiés	initier	VERB	O	O	O
!	!	PUNCT	O	O	O

L'	le	DET	O	O	O
auteur	auteur	NOUN	O	O	O
de	de	ADP	O	O	O
ces	ce	DET	O	O	O
quelques	quelque	DET	O	O	O
lignes	ligne	NOUN	O	O	O
est	être	AUX	O	O	O
un	un	PRON	O	O	O
des	de	ADP	O	O	O
plus	plus	ADV	O	O	O
infimes	infime	ADJ	O	O	O
parmi	parmi	ADP	O	O	O
les	le	DET	O	O	O
plus	plus	ADV	O	O	O
infimes	infime	ADJ	O	O	O
initiés	initié	NOUN	O	O	O
et	et	CCONJ	O	O	O
la	le	DET	O	O	O
publication	publication	NOUN	O	O	O
de	de	ADP	O	O	O
ces	ce	DET	O	O	O
pages	page	NOUN	O	O	O
lui	luire	PRON	O	O	O
ferme	ferme	VERB	O	O	O
à	à	ADP	O	O	O
jamais	jamais	ADV	O	O	O
les	le	DET	O	O	O
portes	porte	NOUN	O	O	O
du	de	ADP	O	O	O
temple	temple	NOUN	O	O	O
,	,	PUNCT	O	O	O
aux	à	ADP	O	O	O
Impatients	impatient	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
il	il	PRON	O	O	O
commet	commettre	VERB	O	O	O
un	un	DET	O	O	O
grand	grand	ADJ	O	O	O
sacrilège	sacrilège	NOUN	O	O	O
en	en	ADP	O	O	O
révélant	révéler	VERB	O	O	O
ce	ce	PRON	O	O	O
qu'	que	PRON	O	O	O
il	il	PRON	O	O	O
ne	ne	ADV	O	O	O
devait	devoir	VERB	O	O	O
pas	pas	ADV	O	O	O
révéler	révéler	VERB	O	O	O
.	.	PUNCT	O	O	O

Mais	mais	CCONJ	O	O	O
,	,	PUNCT	O	O	O
qu'	que	PRON	O	O	O
importe	importer	VERB	O	O	O
!	!	PUNCT	O	O	O

Il	il	PRON	O	O	O
est	être	AUX	O	O	O
de	de	ADP	O	O	O
ceux	celui	PRON	O	O	O
qui	qui	PRON	O	O	O
veulent	vouloir	VERB	O	O	O
la	le	DET	O	O	O
lumière	lumière	NOUN	O	O	O
pour	pour	ADP	O	O	O
tous	tout	PRON	O	O	O
et	et	CCONJ	O	O	O
non	non	ADV	O	O	O
pour	pour	ADP	O	O	O
quelques	quelque	DET	O	O	O
rares	rare	ADJ	O	O	O
privilégiés	privilégier	ADJ	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
s'	se	SCONJ	O	O	O
il	il	PRON	O	O	O
doit	devoir	VERB	O	O	O
payer	payer	VERB	O	O	O
de	de	ADP	O	O	O
sa	son	DET	O	O	O
