I	i	NOUN	O	O	O
COURSE	course	NOUN	O	O	O
A	à	ADP	O	O	O
LA	le	DET	O	O	O
MORT	mort	NOUN	O	O	O
—	—	PUNCT	O	O	O
Miss	miss	NOUN	O	O	O
Malivar	malivar	PROPN	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
vous	vous	PRON	O	O	O
en	en	PRON	O	O	O
prie	prier	VERB	O	O	O
,	,	PUNCT	O	O	O
épargnez	épargner	VERB	O	O	O
-	-	PRON	O	O	O
moi	moi	PRON	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
entendre	entendre	VERB	O	O	O
la	le	DET	O	O	O
fin	fin	NOUN	O	O	O
de	de	ADP	O	O	O
votre	votre	DET	O	O	O
petit	petit	ADJ	O	O	O
sermon	sermon	NOUN	O	O	O
;	;	PUNCT	O	O	O
épargnez	épargner	VERB	O	O	O
-	-	PRON	O	O	O
vous	vous	PRON	O	O	O
le	le	DET	O	O	O
souci	souci	NOUN	O	O	O
de	de	ADP	O	O	O
prêcher	prêcher	VERB	O	O	O
une	un	DET	O	O	O
pécheresse	pécheur	NOUN	O	O	O
aussi	aussi	ADV	O	O	O
endurcie	endurci	ADJ	O	O	O
,	,	PUNCT	O	O	O
car	car	CCONJ	O	O	O
je	je	PRON	O	O	O
suis	être	AUX	O	O	O
absolument	absolument	ADV	O	O	O
décidée	décider	VERB	O	O	O
,	,	PUNCT	O	O	O
ma	mon	DET	O	O	O
bonne	bon	ADJ	O	O	O
amie	amie	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
n	ne	ADV	O	O	O
'	'	ADV	O	O	O
écouter	écouter	VERB	O	O	O
que	que	ADV	O	O	O
mon	mon	DET	O	O	O
caprice	caprice	NOUN	O	O	O
en	en	ADP	O	O	O
cette	ce	DET	O	O	O
circonstance	circonstance	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Ah	ah	INTJ	O	O	O
!	!	PUNCT	O	O	O

miss	miss	NOUN	O	O	O
Lucy	lucy	PROPN	O	O	O
,	,	PUNCT	O	O	O
vous	vous	PRON	O	O	O
me	me	PRON	O	O	O
désolez	désoler	VERB	O	O	O
!	!	PUNCT	O	O	O

Que	que	SCONJ	O	O	O
vous	vous	PRON	O	O	O
ne	ne	ADV	O	O	O
prêtiez	prêter	VERB	O	O	O
aucune	aucun	DET	O	O	O
attention	attention	NOUN	O	O	O
à	à	ADP	O	O	O
mes	mon	DET	O	O	O
craintes	crainte	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
mes	mon	DET	O	O	O
conseils	conseil	NOUN	O	O	O
,	,	PUNCT	O	O	O
passe	passer	VERB	O	O	O
encore	encore	ADV	O	O	O
;	;	PUNCT	O	O	O
j	j	PRON	O	O	O
'	'	ADV	O	O	O
y	y	PRON	O	O	O
suis	être	AUX	O	O	O
presque	presque	ADV	O	O	O
habituée	habituer	VERB	O	O	O
;	;	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
songez	songer	VERB	O	O	O
donc	donc	ADV	O	O	O
un	un	DET	O	O	O
peu	peu	ADV	O	O	O
à	à	ADP	O	O	O
sir	sir	PROPN	O	O	O
Josiah	josiah	PROPN	O	O	O
Moody	moody	PROPN	O	O	O
.	.	PUNCT	O	O	O

Votre	votre	DET	O	O	O
père	père	NOUN	O	O	O
autoriserait	autoriser	VERB	O	O	O
-	-	PRON	O	O	O
il	il	PRON	O	O	O
cette	ce	DET	O	O	O
folle	fou	ADJ	O	O	O
équipée	équipée	NOUN	O	O	O
?	?	PUNCT	O	O	O

Non	non	ADV	O	O	O
,	,	PUNCT	O	O	O
n	ne	ADV	O	O	O
'	'	PRON	O	O	O
est	être	VERB	O	O	O
-	-	PRON	O	O	O
ce	ce	PRON	O	O	O
pas	pas	ADV	O	O	O
?	?	PUNCT	O	O	O

Et	et	CCONJ	O	O	O
c	c	PRON	O	O	O
'	'	PRON	O	O	O
est	être	AUX	O	O	O
bien	bien	ADV	O	O	O
,	,	PUNCT	O	O	O
d	d	ADP	O	O	O
'	'	ADP	O	O	O
ailleurs	ailleurs	ADV	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
certitude	certitude	NOUN	O	O	O
de	de	ADP	O	O	O
son	son	DET	O	O	O
refus	refus	NOUN	O	O	O
qui	qui	PRON	O	O	O
vous	vous	PRON	O	O	O
a	avoir	AUX	O	O	O
fait	faire	AUX	O	O	O
cacher	cacher	VERB	O	O	O
,	,	PUNCT	O	O	O
jusqu	jusqu	ADP	O	O	O
'	'	ADP	O	O	O
à	à	ADP	O	O	O
présent	présent	NOUN	O	O	O
,	,	PUNCT	O	O	O
votre	votre	DET	O	O	O
détestable	détestable	ADJ	O	O	O
projet	projet	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Ma	mon	DET	O	O	O
bonne	bon	ADJ	O	O	O
Malivar	malivar	PROPN	O	O	O
,	,	PUNCT	O	O	O
vous	vous	PRON	O	O	O
êtes	être	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
vrai	vrai	ADJ	O	O	O
;	;	PUNCT	O	O	O
il	il	PRON	O	O	O
ne	ne	ADV	O	O	O
m	m	PRON	O	O	O
'	'	PRON	O	O	O
en	en	PRON	O	O	O
coûte	coûter	VERB	O	O	O
nullement	nullement	ADV	O	O	O
de	de	ADP	O	O	O
le	le	PRON	O	O	O
reconnaître	reconnaître	VERB	O	O	O
;	;	PUNCT	O	O	O
c	c	PRON	O	O	O
