LA	O
RITOURNELLE	O
La	O
scène	O
se	O
passa	O
à	O
Hod	B-LOC
,	O
dernière	O
petite	O
cité	O
de	O
la	O
dernière	O
petite	O
île	O
en	O
qui	O
subsiste	O
tout	O
ce	O
qui	O
reste	O
de	O
notre	O
monde	O
civilisé	O
.	O
C'est	O
sur	O
le	O
roc	O
le	O
plus	O
élevé	O
de	O
ce	O
qui	O
est	O
aujourd'hui	O
le	B-LOC
Gaourisankâ	I-LOC
,	O
pointe	O
extrême	O
des	B-LOC
monts	I-LOC
Himalayens	I-LOC
.	O
Lentement	O
,	O
insensiblement	O
,	O
au	O
cours	O
des	O
siècles	O
,	O
l'ancien	O
continent	O
s'est	O
affaissé	O
sous	O
la	O
mer	O
revenue	O
,	O
ne	O
laissant	O
plus	O
émerger	O
que	O
cette	O
haute	O
aiguille	O
,	O
jadis	O
inaccessible	O
,	O
maintenant	O
pauvre	O
îlot	O
blême	O
au	O
ras	O
des	O
vagues	O
.	O
Les	B-PER
Aryas	I-PER
,	O
autrefois	O
marcheurs	O
vers	O
l'Occident	B-LOC
et	O
devant	O
qui	O
la	O
mer	O
semblait	O
fuir	O
alors	O
,	O
ont	O
dû	O
rétrograder	O
peu	O
à	O
peu	O
devant	O
le	O
retour	O
offensif	O
de	O
la	O
grande	O
vaincue	O
.	O
Chassés	O
par	O
elle	O
,	O
ils	O
ont	O
repris	O
leur	O
route	O
à	O
reculons	O
,	O
marcheurs	O
vers	O
l'Orient	B-LOC
désormais	O
;	O
et	O
les	O
voici	O
rentrés	O
dans	O
leur	O
berceau	O
.	O
Mais	O
ils	O
étaient	O
partis	O
prolifiques	O
et	O
pullulants	O
,	O
et	O
ils	O
sont	O
revenus	O
usés	O
et	O
stériles	O
.	O
La	O
race	O
fameuse	O
par	O
ses	O
larges	O
épaules	O
,	O
ses	O
bras	O
musculeux	O
,	O
ses	O
infatigables	O
jarrets	O
,	O
sa	O
vaste	O
poitrine	O
,	O
son	O
sang	O
bouillonnant	O
comme	O
un	O
jeune	O
vin	O
,	O
s'est	O
épuisée	O
à	O
détruire	O
toutes	O
les	O
races	O
antérieures	O
,	O
à	O
façonner	O
la	O
terre	O
conquise	O
,	O
à	O
dompter	O
la	O
nature	O
elle	O
-	O
même	O
,	O
à	O
lui	O
arracher	O
ses	O
secrets	O
,	O
et	O
à	O
la	O
chanter	O
aussi	O
en	O
la	O
divinisant	O
par	O
la	O
religion	O
,	O
les	O
lettres	O
et	O
les	O
arts	O
.	O
C'est	O
à	O
présent	O
une	O
